Chelsea,29,20,7,2,61,25,67
Manchester City,30,18,7,5,62,28,61
Arsenal,30,18,6,6,58,31,60
Manchester United,30,17,8,5,52,27,59
Liverpool,30,16,6,8,44,32,54
Southampton,30,16,5,9,42,21,53
Tottenham Hotspur,30,16,5,9,50,45,53
Swansea City,30,12,7,11,34,38,43
West Ham United,30,11,9,10,40,37,42
Stoke City,30,12,6,12,34,37,42
Crystal Palace,30,9,9,12,36,41,36
Newcastle United,30,9,8,13,33,48,35
Everton,30,8,10,12,38,42,34
West Bromwich Albion,30,8,9,13,27,39,33
Hull City,30,6,10,14,28,40,28
Aston Villa,30,7,7,16,19,39,28
Sunderland,30,4,14,12,23,44,26
Burnley,30,5,10,15,26,49,25
Queens Park Rangers,30,6,4,20,31,54,22
Leicester City,29,4,7,18,27,48,19
